 	A	B	C	D	H	L	P	K	F	J	N	E	I	M	O	
A	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	
B	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	
C	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	
D	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	
H	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	
L	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	
P	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	
K	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	
F	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	
J	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	
N	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	
E	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	
I	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	
M	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
O	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	
